english,japanese,example
progress report,進捗報告,I will give a short progress report today.
weekly meeting,週次ミーティング,We discussed the results in the weekly meeting.
seminar,ゼミ,I presented my research at the seminar.
presentation,発表,My presentation focuses on landmark detection.
slide,スライド,This slide shows the overall pipeline.
outline,発表の流れ,"First, I will explain the outline of my talk."
agenda,議題,The agenda includes experiments and future work.
background,背景,The background of this study is autonomous navigation.
motivation,動機,The motivation is to improve outdoor localization.
objective,目的,The objective is to detect stable landmarks.
goal,目標,Our goal is robust localization in outdoor environments.
problem,問題,The main problem is sensor noise.
challenge,課題,A major challenge is detecting small objects.
proposal,提案,Our proposal uses camera and LiDAR fusion.
approach,アプローチ,This approach combines visual and geometric information.
method,手法,The method detects objects from images.
methodology,方法論,The methodology consists of detection and evaluation.
overview,概要,This figure gives an overview of the system.
summary,要約,Here is a summary of the main results.
conclusion,結論,"In conclusion, the proposed method is effective."
future work,今後の課題,Future work includes testing in more environments.
limitation,限界,One limitation is the small dataset size.
contribution,貢献,The main contribution is a robust landmark selection method.
discussion,議論,The discussion focuses on failure cases.
question,質問,Thank you for your question.
answer,回答,I will answer that question in the next slide.
comment,コメント,I appreciate your comment.
feedback,フィードバック,The feedback helped improve the experiment.
clarification,明確化,Let me add a clarification about the dataset.
assumption,仮定,This method is based on the assumption that landmarks are static.
hypothesis,仮説,Our hypothesis is that trunks are reliable landmarks.
evidence,根拠,The experimental results provide evidence for this claim.
reason,理由,The reason is that the sensor resolution is limited.
example,例,This is an example of a detected object.
case study,事例研究,We conducted a case study on an outdoor path.
takeaway,要点,The key takeaway is that fusion improves robustness.
main point,要点,The main point is shown in this diagram.
key idea,主要な考え,The key idea is to use stable objects as landmarks.
result,結果,The result shows better localization accuracy.
finding,発見,An important finding is that trunks are easier to detect than trees.
observation,観察,This observation supports our design choice.
interpretation,解釈,Our interpretation is that segmentation reduces false detections.
comparison,比較,This comparison shows the advantage of our method.
baseline,比較手法,We compare our method with a baseline method.
previous work,先行研究,Previous work used tree trunks as landmarks.
related work,関連研究,Related work includes visual SLAM and LiDAR SLAM.
state of the art,最先端,We compare our result with state of the art methods.
novelty,新規性,The novelty is the combination of object detection and geometry.
significance,重要性,The significance of this study is practical outdoor navigation.
impact,影響,The impact of sensor noise is large.
propose,提案する,We propose a new landmark detection method.
develop,開発する,We developed a ROS 2 package.
implement,実装する,I implemented the node in Python.
design,設計する,We designed the system architecture.
construct,構築する,We constructed a dataset from outdoor images.
build,構築する,We built a prototype system.
create,作成する,I created labels for the dataset.
collect,収集する,We collected images in an outdoor environment.
annotate,アノテーションする,We annotated tree trunks in the images.
train,学習する,We trained the model on a custom dataset.
fine tune,微調整する,We fine tune YOLO for trunk detection.
evaluate,評価する,We evaluate the model using test images.
compare,比較する,We compare YOLO and RF DETR.
analyze,分析する,We analyze the failure cases.
investigate,調査する,We investigate the effect of lighting conditions.
examine,調べる,We examine the relationship between distance and accuracy.
measure,測定する,We measure inference time on the GPU.
estimate,推定する,The system estimates the robot pose.
predict,予測する,The model predicts object classes.
detect,検出する,The camera detects landmarks.
recognize,認識する,The system recognizes known objects.
classify,分類する,The model classifies objects into categories.
segment,分割する,The model segments the tree trunk region.
extract,抽出する,We extract features from point clouds.
match,照合する,The system matches landmarks between frames.
track,追跡する,The tracker follows detected objects.
optimize,最適化する,We optimize the parameters for real time processing.
improve,改善する,The method improves localization accuracy.
reduce,減らす,The filter reduces noise.
increase,増やす,The new dataset increases detection accuracy.
enhance,向上させる,Sensor fusion enhances robustness.
achieve,達成する,The model achieves high accuracy.
obtain,得る,We obtained better results with the trunk class.
validate,検証する,We validate the method in simulation.
demonstrate,示す,The experiments demonstrate the effectiveness of the method.
show,示す,The figure shows the detection result.
indicate,示す,The results indicate improved robustness.
suggest,示唆する,The results suggest that trunk detection is useful.
confirm,確認する,We confirmed that the node publishes messages correctly.
observe,観察する,We observed false positives in crowded scenes.
assume,仮定する,We assume that landmarks do not move.
focus on,焦点を当てる,This study focuses on outdoor landmarks.
aim to,目指す,We aim to improve autonomous navigation.
deal with,対処する,The method deals with dynamic objects.
address,取り組む,This study addresses landmark selection.
apply,適用する,We apply YOLO to trunk detection.
use,使用する,We use LiDAR for geometric verification.
combine,組み合わせる,We combine camera and LiDAR information.
integrate,統合する,We integrate the detector into ROS 2.
extend,拡張する,We extend the previous method to various landmarks.
accuracy,正解率,The accuracy improved after fine tuning.
precision,適合率,Precision is important when false positives are costly.
recall,再現率,Recall measures how many true objects are detected.
F1 score,F1スコア,The F1 score balances precision and recall.
mean average precision,平均適合率,Mean average precision is used for object detection evaluation.
intersection over union,IoU,Intersection over union measures box overlap.
true positive,真陽性,A true positive means a correct detection.
false positive,偽陽性,A false positive means an incorrect detection.
false negative,偽陰性,A false negative means a missed object.
true negative,真陰性,A true negative means a correct rejection.
error,誤差,The localization error decreased.
failure,失敗,We analyze failure cases in this section.
success rate,成功率,The success rate was high in the test environment.
robustness,頑健性,Robustness is important in outdoor environments.
reliability,信頼性,The reliability of the landmark is evaluated.
stability,安定性,Static objects provide better stability.
efficiency,効率,The efficiency of the pipeline is important.
latency,遅延,Low latency is required for real time systems.
throughput,処理能力,Throughput depends on GPU performance.
frame rate,フレームレート,The frame rate decreased with a larger model.
inference time,推論時間,Inference time was measured in milliseconds.
processing time,処理時間,Processing time increases with image size.
memory usage,メモリ使用量,Memory usage is lower with the nano model.
computational cost,計算コスト,The computational cost is high for transformer models.
model size,モデルサイズ,Model size affects deployment on edge devices.
parameter count,パラメータ数,The parameter count is smaller in the lightweight model.
speed,速度,YOLO has high inference speed.
performance,性能,We compare performance on the same dataset.
improvement,改善,The improvement is clear in the results.
degradation,低下,Performance degradation occurs at night.
trade off,トレードオフ,There is a trade off between speed and accuracy.
real time,リアルタイム,The system runs in real time.
offline,オフライン,Offline processing is acceptable for dataset creation.
online,オンライン,Online inference is needed for robot navigation.
generalization,汎化,Generalization to new environments is important.
overfitting,過学習,Overfitting occurs when the dataset is too small.
underfitting,未学習,Underfitting means the model is too simple.
variance,分散,High variance can make results unstable.
bias,バイアス,Dataset bias affects model performance.
threshold,しきい値,We set the confidence threshold to 0.5.
confidence score,信頼度スコア,The confidence score is displayed on the image.
score,スコア,The detection score is shown in the terminal.
metric,評価指標,Accuracy is one evaluation metric.
benchmark,ベンチマーク,We use a benchmark dataset for comparison.
ROS 2,ROS 2,The system is implemented in ROS 2.
node,ノード,Each node has a specific role.
topic,トピック,The camera image is published to a topic.
publisher,配信側,The publisher sends image messages.
subscriber,購読側,The subscriber receives sensor data.
message,メッセージ,The message contains timestamped data.
service,サービス,A service is used for request and response communication.
action,アクション,An action is useful for long running tasks.
parameter,パラメータ,The node reads parameters at startup.
